company_code,company_name
ADANIPORTS.NS,Adani Ports & SEZ Ltd.
ASIANPAINT.NS,Asian Paints Ltd.
AXISBANK.NS,Axis Bank Ltd.
BAJAJ-AUTO.NS,Bajaj Auto Ltd.
BAJFINANCE.NS,Bajaj Finance Ltd.
BAJAJFINSV.NS,Bajaj Finserv Ltd.
BPCL.NS,Bharat Petroleum Corporation Ltd.
BHARTIARTL.NS,Bharti Airtel Ltd.
INFRATEL.NS,Infratel Ltd.
CIPLA.NS,Cipla Ltd.
COALINDIA.NS,Coal India Ltd.
DRREDDY.NS,Dr. Reddy's Laboratories Ltd.
EICHERMOT.NS,Eicher Motors Ltd.
GAIL.NS,GAIL (India) Ltd.
GRASIM.NS,Grasim Industries Ltd.
HCLTECH.NS,HCL Technologies Ltd.
HDFCBANK.NS,HDFC Bank Ltd.
HEROMOTOCO.NS,Hero MotoCorp Ltd.
HINDALCO.NS,Hindalco Industries Ltd.
